minUtil: 4804
1373: 13.55: 25560
1292: 12.6: 24642
988: 9.3: 24187
225: 8.04: 22951
222: 9.33: 22910
272: 13.54: 22678
1426: 9.96: 21692
1161: 10.54: 21540
1045: 9.48: 21090
1518: 7.94: 20416
1180: 8.06: 19890
1012: 11.65: 19861
175: 9.14: 19635
1380: 7.99: 19548
1368: 7.57: 19525
1508: 10.16: 19116
1310: 8.53: 19102
941: 8.96: 18565
276: 10.37: 18528
278: 9.33: 18480
918: 11.38: 18414
470: 8.96: 18259
1282: 10.05: 18232
1110: 10.1: 17920
447: 10.23: 17856
246: 9.63: 17655
422: 8.73: 17616
49: 7.66: 17238
907: 8.01: 17100
508: 8.23: 17055
111: 8.85: 17052
502: 8.39: 16801
1493: 7.55: 16632
69: 10.07: 16430
313: 7.94: 16245
27: 9.44: 16165
1423: 11.75: 16116
449: 9.12: 15867
1516: 9.22: 15792
379: 8.34: 15785
55: 8.72: 15750
1077: 8.05: 15455
823: 8.05: 15435
1389: 8.17: 15254
916: 11.68: 15163
419: 9.29: 14994
464: 8.01: 14952
520: 10.36: 14840
1464: 9.44: 14800
812: 9.41: 14696
1254: 7.73: 14680
903: 11.62: 14616
231: 8.75: 14575
844: 8.48: 14564
1296: 8.6: 14548
418: 7.58: 14536
281: 8.97: 14465
435: 9.24: 14433
1540: 7.59: 14432
1348: 8.83: 14326
1251: 8.15: 14320
383: 8.89: 14300
20: 8.2: 14178
521: 8.02: 14155
153: 7.83: 14144
170: 8.45: 14080
924: 7.69: 14040
863: 8.74: 14006
1104: 8.96: 13965
946: 8.55: 13965
703: 7.98: 13959
1237: 7.68: 13750
602: 10.0: 13696
304: 14.23: 13607
1281: 9.1: 13573
1160: 8.19: 13517
1473: 9.4: 13452
756: 7.5: 13393
1119: 8.86: 13314
640: 9.36: 13209
1118: 9.5: 13178
1340: 8.25: 13107
326: 9.77: 13091
883: 8.63: 13041
555: 7.59: 12960
922: 7.53: 12950
54: 9.51: 12889
261: 7.52: 12844
853: 7.52: 12804
890: 9.18: 12789
1416: 7.62: 12788
1472: 8.86: 12760
606: 8.66: 12720
1165: 8.01: 12690
789: 7.51: 12670
1291: 9.65: 12642
1308: 9.18: 12642
1547: 9.0: 12614
1384: 8.61: 12593
580: 8.45: 12532
599: 10.79: 12519
1241: 7.62: 12516
825: 8.29: 12452
1390: 11.26: 12415
493: 8.31: 12408
742: 7.8: 12350
915: 7.67: 12341
44: 8.34: 12298
321: 8.28: 12291
882: 7.54: 12201
200: 9.8: 12190
414: 8.49: 12188
584: 8.8: 12173
191: 7.54: 12054
774: 7.9: 12005
1264: 9.35: 11985
1019: 7.56: 11968
634: 11.88: 11881
219: 9.27: 11844
1142: 7.54: 11800
673: 8.2: 11782
749: 10.03: 11748
1048: 9.43: 11713
1220: 10.18: 11700
1357: 9.1: 11653
415: 7.88: 11640
819: 8.06: 11634
260: 8.51: 11592
308: 10.94: 11554
728: 9.17: 11528
357: 11.97: 11520
1116: 7.73: 11377
1470: 8.64: 11327
73: 9.65: 11184
